ក	kɑɑ
ខ	kʰɑɑ
គ	kɔɔ
ឃ	kʰɔɔ
ង	ŋɔɔ
ច	cɑɑ
ឆ	cʰɑɑ
ជ	cɔɔ
ឈ	cʰɔɔ
ញ	ɲɔɔ
ដ	ɗɑɑ
ឋ	tʰɑɑ
ឌ	ɗɔɔ
ឍ	tʰɔɔ
ណ	nɑɑ
ត	tɑɑ
ថ	tʰɑɑ
ទ	tɔɔ
ធ	tʰɔɔ
ន	nɔɔ
ប	ɓɑɑ
ផ	pʰɑɑ
ព	pɔɔ
ភ	pʰɔɔ
ម	mɔɔ
យ	jɔɔ
រ	rɔɔ
ល	lɔɔ
វ	wɔɔ
ស	sɑɑ
ហ	hɑɑ
ឡ	lɑɑ
អ	ʔɑɑ
កក	kɑɑk
កង	kɑɑŋ
កន	kɑɑn
កប	kɑɑp
កម	kɑɑm
កា	kaa
កី	kəj
កើ	kaə
កែ	kae
កៃ	kaj
ខក	kʰɑɑk
ខន	kʰɑɑn
ខម	kʰɑɑm
ខួ	kʰuə
ខេ	kʰee
ខែ	kʰae
ខៃ	kʰaj
ខោ	kʰao
ខំ	kʰɑm
ខះ	kʰah
គក	kɔɔk
គង	kɔɔŋ
គន	kɔɔn
គម	kɔɔm
គយ	kɔɔj
គរ	kɔɔ
គី	kii
គឺ	kɨɨ
គូ	kuu
គែ	kɛɛ
គៃ	kej
គំ	kum
ងរ	ŋɔɔ
ងា	ŋie
ងឺ	ŋɨɨ
ងឿ	ŋɨə
ងៅ	ŋɨw
ងំ	ŋum
ចក	cɑɑk
ចង	cɑɑŋ
ចត	cɑɑt
ចប	cɑɑp
ចម	cɑɑm
ចែ	cae
ចៃ	caj
ចៅ	caw
ចំ	cɑm
ឆក	cʰɑɑk
ឆត	cʰɑɑt
ឆប	cʰɑɑp
ឆរ	cʰɑɑ
ឆា	cʰaa
ឆី	cʰəj
ឆែ	cʰae
ឆៅ	cʰaw
ជង	cɔɔŋ
ជត	cɔɔt
ជន	cɔɔn
ជម	cɔɔm
ជរ	cɔɔ
ជា	cie
ជី	cii
ជួ	cuə
ជើ	cəə
ជឿ	cɨə
ជៅ	cɨw
ជំ	cum
ជះ	ceah
ឈប	cʰɔɔp
ឈម	cʰɔɔm
ឈរ	cʰɔɔ
ឈឺ	cʰɨɨ
ឈូ	cʰuu
ឈើ	cʰəə
ញក	ɲɔɔk
ញន	ɲɔɔn
ញប	ɲɔɔp
ញយ	ɲɔɔj
ញី	ɲii
ញំ	ɲum
ដក	ɗɑɑk
ដង	ɗɑɑŋ
ដប	ɗɑɑp
ដម	ɗɑɑm
ដរ	ɗɑɑ
ដា	ɗaa
ដី	ɗəj
ដៃ	ɗaj
ដៅ	ɗaw
ដំ	ɗɑm
ឌឺ	ɗɨɨ
ណា	naa
ណែ	nae
តង	tɑɑŋ
តប	tɑɑp
តម	tɑɑm
តយ	tɑɑj
តា	taa
តុ	toʔ
តួ	tuə
តើ	taə
តឿ	tɨə
តែ	tae
តោ	tao
តៅ	taw
តះ	tah
ថង	tʰɑɑŋ
ថត	tʰɑɑt
ថយ	tʰɑɑj
ថា	tʰaa
ថូ	tʰoo
ថួ	tʰuə
ថែ	tʰae
ថៃ	tʰaj
ថោ	tʰao
ទក	tɔɔk
ទង	tɔɔŋ
ទត	tɔɔt
ទម	tɔɔm
ទយ	tɔɔj
ទរ	tɔɔ
ទា	tie
ទី	tii
ទូ	tuu
ទួ	tuə
ទេ	tee
ទៃ	tej
ទៅ	tɨw
ទំ	tum
ទះ	teah
ធឺ	tʰɨɨ
ធួ	tʰuə
ធំ	tʰum
នក	nɔɔk
នប	nɔɔp
នា	nie
នី	nii
នែ	nɛɛ
នៃ	nej
នៅ	nɨw
នំ	num
បក	ɓɑɑk
បង	ɓɑɑŋ
បន	ɓɑɑn
បម	ɓɑɑm
បរ	ɓɑɑ
បី	ɓəj
បូ	ɓoo
បួ	ɓuə
បើ	ɓaə
បៀ	ɓiə
បៅ	ɓaw
បះ	ɓah
ប៉	pɑɑ
ប៊	ɓɔɔ
ផង	pʰɑɑŋ
ផត	pʰɑɑt
ផស	pʰɑɑh
ផែ	pʰae
ផៅ	pʰaw
ពក	pɔɔk
ពង	pɔɔŋ
ពន	pɔɔn
ពម	pɔɔm
ពយ	pɔɔj
ពី	pii
ពូ	puu
ពើ	pəə
ពែ	pɛɛ
ពៃ	pej
ពោ	poo
ពៅ	pɨw
ពះ	peah
ភយ	pʰɔɔj
ភរ	pʰɔɔ
ភី	pʰii
ភូ	pʰuu
ភើ	pʰəə
ភេ	pʰee
មក	mɔɔk
មង	mɔɔŋ
មន	mɔɔn
មរ	mɔɔ
មា	mie
មី	mii
មួ	muə
មើ	məə
មេ	mee
មែ	mɛɛ
មៃ	mej
មៅ	mɨw
យក	jɔɔk
យី	jii
យើ	jəə
យៃ	jej
យោ	joo
យៅ	jɨw
យំ	jum
យះ	jeah
យ៉	jɑɑ
រក	rɔɔk
រង	rɔɔŋ
រត	rɔɔt
រន	rɔɔn
រប	rɔɔp
រម	rɔɔm
រយ	rɔɔj
រល	rɔɔl
រហ	rɔɔh
រឡ	rɔɔl
រា	rie
រី	rii
រូ	ruu
រើ	rəə
រឿ	rɨə
រេ	ree
រៃ	rej
រំ	rum
រះ	reah
រ៉	rɑɑ
លក	lɔɔk
លង	lɔɔŋ
លត	lɔɔt
លន	lɔɔn
លប	lɔɔp
លម	lɔɔm
លយ	lɔɔj
លា	lie
លី	lii
លឺ	lɨɨ
លូ	luu
លើ	ləə
លែ	lɛɛ
លៃ	lej
លោ	loo
លៅ	lɨw
លំ	lum
លះ	leah
វក	wɔɔk
វង	wɔɔŋ
វរ	wɔɔ
វា	wie
វឺ	wɨɨ
វូ	wuu
វៃ	wej
វោ	woo
វះ	weah
វ៉	wɑɑ
សក	sɑɑk
សង	sɑɑŋ
សប	sɑɑp
សម	sɑɑm
សយ	sɑɑj
សា	saa
សី	səj
សឺ	səə
សូ	soo
សួ	suə
សើ	saə
សៀ	siə
សេ	see
សែ	sae
សោ	sao
សៅ	saw
សំ	sɑm
សះ	sah
ហក	hɑɑk
ហង	hɑɑŋ
ហប	hɑɑp
ហស	hɑɑh
ហា	haa
ហឺ	həə
ហៀ	hiə
ហេ	hee
ហែ	hae
ហោ	hao
ហំ	hɑm
ហ៊	hɔɔ
ឡក	lɑɑk
ឡង	lɑɑŋ
ឡត	lɑɑt
ឡូ	loo
ឡែ	lae
ឡោ	lao
ឡៅ	law
ឡះ	lah
អក	ʔɑɑk
អង	ʔɑɑŋ
អញ	ʔɑɑɲ
អត	ʔɑɑt
អន	ʔɑɑn
អម	ʔɑɑm
អរ	ʔɑɑ
អា	ʔaa
អី	ʔəj
អឺ	ʔəə
អូ	ʔoo
អួ	ʔuə
អើ	ʔaə
អៀ	ʔiə
អែ	ʔae
អៃ	ʔaj
អះ	ʔah
កករ	kɑ\.kɑɑ
កក់	kɑk
កង់	kɑŋ
កដប	kɑ\.ɗɑɑp
កណា	kɑ\.naa
កត់	kɑt
កប់	kɑp
កល់	kɑl
កាក	kaak
កាង	kaaŋ
កាច	kaac
កាត	kaat
កាប	kaap
ការ	kaa
កាវ	kaaw
កាស	kaah
កាំ	kam
កិង	kəŋ
កិត	kət
កិន	kən
កិប	kəp
កិល	kəl
កឹះ	kəh
កុក	kok
កុង	koŋ
កុញ	koɲ
កុន	kon
កុប	kop
កុយ	koj
កុរ	ko
កុំ	kom
កុះ	koh
កូត	koot
កូន	koon
កូប	koop
កូរ	koo
កូវ	koow
កួច	kuəc
កួត	kuət
កួន	kuən
កួយ	kuəj
កួរ	kuə
កើង	kaəŋ
កើច	kaəc
កើត	kaət
កើន	kaən
កើប	kaəp
កើយ	kaəj
កើល	kaəl
កឿង	kɨəŋ
កៀក	kiək
កៀង	kiəŋ
កៀច	kiəc
កៀត	kiət
កៀន	kiən
កៀប	kiəp
កៀរ	kiə
កៀវ	kiəw
កៀស	kiəh
កេក	keek
កេង	keeŋ
កេរ	kee
កេល	keel
កេវ	keew
កេះ	keh
កែក	kaek
កែង	kaeŋ
កែន	kaen
កែប	kaep
កែម	kaem
កែវ	kaew
កែស	kaeh
កែះ	kaeh
កោក	kaok
កោង	kaoŋ
កោត	kaot
កោន	kaon
កោប	kaop
កោយ	kaoj
កោរ	kao
កោស	kaoh
កោះ	kɑh
ក្ង	kŋɑɑ
ក្ដ	kɗɑɑ
ក្រ	krɑɑ
ខក់	kʰɑk
ខន់	kʰɑn
ខាក	kʰaak
ខាង	kʰaaŋ
ខាត	kʰaat
ខាន	kʰaan
ខាប	kʰaap
ខាម	kʰaam
ខារ	kʰaa
ខាល	kʰaal
ខាវ	kʰaaw
ខាំ	kʰam
ខិង	kʰəŋ
ខិត	kʰət
ខិម	kʰəm
ខិល	kʰəl
ខឹក	kʰək
ខឹង	kʰəŋ
ខុង	kʰoŋ
ខុន	kʰon
ខុប	kʰop
ខុយ	kʰoj
ខុរ	kʰo
ខុល	kʰol
ខុស	kʰoh
ខូង	kʰooŋ
ខូច	kʰooc
ខួង	kʰuəŋ
ខួច	kʰuəc
ខួញ	kʰuəɲ
ខួប	kʰuəp
ខួរ	kʰuə
ខើច	kʰaəc
ខឿន	kʰɨən
ខៀន	kʰiən
ខៀវ	kʰiəw
ខេន	kʰeen
ខែង	kʰaeŋ
ខែល	kʰael
ខោក	kʰaok
ខោរ	kʰao
ខោល	kʰaol
ខោស	kʰaoh
ខ្ព	kpɔɔ
គក់	kuək
គឃរ	kɔ\.kʰɔɔ
គង់	kuŋ
គជ់	kuc
គត់	kut
គន់	kun
គប់	kup
គល់	kul
គាង	kieŋ
គាប	kiep
គាយ	kiej
គាវ	kiew
គាំ	koam
គិត	kɨt
គិល	kɨl
គឹក	kɨk
គឹល	kɨl
គុក	kuk
គុត	kut
គុន	kun
គុយ	kuj
គុល	kul
គុំ	kum
គូក	kuuk
គូរ	kuu
គូស	kuuh
គួប	kuəp
គួរ	kuə
គើម	kəəm
គេង	keeŋ
គេច	keec
គែន	kɛɛn
គែប	kɛɛp
គែម	kɛɛm
គែល	kɛɛl
គោក	kook
គោង	kooŋ
គោត	koot
គោម	koom
គោះ	kuəh
គ្រ	krɔɔ
ឃាង	kʰieŋ
ឃឹក	kʰɨk
ឃឹម	kʰɨm
ឃុន	kʰun
ឃុំ	kʰum
ឃូរ	kʰuu
ឃូស	kʰuuh
ឃើញ	kʰəəɲ
ឃែត	kʰɛɛt
ងក់	ŋuək
ងប់	ŋup
ងាក	ŋiek
ងាយ	ŋiej
ងារ	ŋie
ងាវ	ŋiew
ងាស	ŋieh
ងាំ	ŋoam
ងីក	ŋiik
ងីវ	ŋiiw
ងឹល	ŋɨl
ងូង	ŋuuŋ
ងូត	ŋuut
ងូស	ŋuuh
ងើត	ŋəət
ងើប	ŋəəp
ងើយ	ŋəəj
ងឿក	ŋɨək
ងឿង	ŋɨəŋ
ងៀង	ŋiəŋ
ងៀត	ŋiət
ងោក	ŋook
ងោង	ŋooŋ
ងោច	ŋooc
ងោះ	ŋuəh
ង៉ៃ	ŋaj
ង៉ៅ	ŋaw
ចក់	cɑk
ចង់	cɑŋ
ចចក	cɑ\.cɑɑk
ចត់	cɑt
ចប់	cɑp
ចាក	caak
ចាង	caaŋ
ចាន	caan
ចាប	caap
ចាម	caam
ចាយ	caaj
ចារ	caa
ចាល	caal
ចាវ	caaw
ចាស	caah
ចាំ	cam
ចិក	cək
ចិត	cət
ចិន	cən
ចឹក	cək
ចឹប	cəp
ចឹស	cəh
ចឺន	cəən
ចឺម	cəəm
ចុក	cok
ចុង	coŋ
ចុច	coc
ចុន	con
ចុយ	coj
ចុះ	coh
ចូក	cook
ចូរ	coo
ចូល	cool
ចួន	cuən
ចួប	cuəp
ចើក	caək
ចើស	caəh
ចៀន	ciən
ចៀម	ciəm
ចៀរ	ciə
ចៀស	ciəh
ចេក	ceek
ចេច	ceec
ចេញ	ceeɲ
ចេប	ceep
ចេរ	cee
ចេស	ceeh
ចេះ	ceh
ចែក	caek
ចែង	caeŋ
ចែត	caet
ចែវ	caew
ចែស	caeh
ចោត	caot
ចោម	caom
ចោល	caol
ចោះ	cɑh
ចំណ	cɑm\.nɑɑ
ចំហ	cɑm\.hɑɑ
ឆក់	cʰɑk
ឆាក	cʰaak
ឆាង	cʰaaŋ
ឆាប	cʰaap
ឆាយ	cʰaaj
ឆាវ	cʰaaw
ឆិញ	cʰəɲ
ឆិត	cʰət
ឆិល	cʰəl
ឆឹក	cʰək
ឆឹង	cʰəŋ
ឆឺង	cʰəəŋ
ឆុក	cʰok
ឆុង	cʰoŋ
ឆុត	cʰot
ឆូត	cʰoot
ឆូវ	cʰoow
ឆួង	cʰuəŋ
ឆួល	cʰuəl
ឆើត	cʰaət
ឆើយ	cʰaəj
ឆៀក	cʰiək
ឆៀង	cʰiəŋ
ឆៀប	cʰiəp
ឆេញ	cʰeeɲ
ឆេរ	cʰee
ឆេវ	cʰeew
ឆេះ	cʰeh
ឆែក	cʰaek
ឆែង	cʰaeŋ
ឆែត	cʰaet
ឆែប	cʰaep
ឆែវ	cʰaew
ឆោង	cʰaoŋ
ឆោត	cʰaot
ឆោម	cʰaom
ឆ្វ	cwɑɑ
ជក់	cuək
ជង់	cuŋ
ជច់	cuc
ជន់	cun
ជប់	cup
ជល់	cul
ជាង	cieŋ
ជាម	ciem
ជាយ	ciej
ជាវ	ciew
ជាស	cieh
ជាំ	coam
ជិត	cɨt
ជិន	cɨn
ជិប	cɨp
ជិះ	cih
ជីក	ciik
ជីប	ciip
ជុក	cuk
ជុច	cuc
ជុំ	cum
ជុះ	cuh
ជូត	cuut
ជូន	cuun
ជូរ	cuu
ជួង	cuəŋ
ជួញ	cuəɲ
ជួត	cuət
ជួន	cuən
ជួប	cuəp
ជួយ	cuəj
ជួរ	cuə
ជួល	cuəl
ជួស	cuəh
ជើង	cəəŋ
ជើត	cəət
ជើយ	cəəj
ជឿន	cɨən
ជៀត	ciət
ជៀន	ciən
ជៀប	ciəp
ជៀវ	ciəw
ជៀស	ciəh
ជេន	ceen
ជេរ	cee
ជេះ	ceh
ជែក	cɛɛk
ជែង	cɛɛŋ
ជែះ	cɛh
ជោក	cook
ជោរ	coo
ជោះ	cuəh
ឈប់	cʰup
ឈាន	cʰien
ឈាម	cʰiem
ឈាវ	cʰiew
ឈិង	cʰɨŋ
ឈឹង	cʰɨŋ
ឈឹប	cʰɨp
ឈុត	cʰut
ឈូក	cʰuuk
ឈូង	cʰuuŋ
ឈូច	cʰuuc
ឈែល	cʰɛɛl
ឈោង	cʰooŋ
ញក់	ɲuək
ញច់	ɲuc
ញញី	ɲɔ\.ɲii
ញល់	ɲul
ញាំ	ɲoam
ញឹក	ɲɨk
ញឹន	ɲɨn
ញុះ	ɲuh
ញូញ	ɲuuɲ
ញើញ	ɲəəɲ
ញើប	ɲəəp
ញើស	ɲəəh
ញៀច	ɲiəc
ញៀត	ɲiət
ញៀន	ɲiən
ញេច	ɲeec
ញេញ	ɲeeɲ
ញែក	ɲɛɛk
ញោច	ɲooc
ញោម	ɲoom
ញោស	ɲooh
ញោះ	ɲuəh
ញ៉ម	ɲɑɑm
ញ៉ែ	ɲae
ដកព	ɗɑ\.kɑɑp
ដក់	ɗɑk
ដទៃ	ɗɑ\.tej
ដប់	ɗɑp
ដល់	ɗɑl
ដាង	ɗaaŋ
ដាច	ɗaac
ដាន	ɗaan
ដាប	ɗaap
ដាម	ɗaam
ដាយ	ɗaaj
ដាល	ɗaal
ដាវ	ɗaaw
ដាស	ɗaah
ដាំ	ɗam
ដិត	ɗət
ដីស	ɗəjh
ដឹក	ɗək
ដឹង	ɗəŋ
ដឹប	ɗəp
ដឹស	ɗəh
ដុត	ɗot
ដុន	ɗon
ដុប	ɗop
ដុល	ɗol
ដុស	ɗoh
ដុំ	ɗom
ដុះ	ɗoh
ដូង	ɗooŋ
ដូច	ɗooc
ដូន	ɗoon
ដូរ	ɗoo
ដួង	ɗuəŋ
ដួច	ɗuəc
ដួន	ɗuən
ដួល	ɗuəl
ដួស	ɗuəh
ដើម	ɗaəm
ដើរ	ɗaə
ដៀង	ɗiəŋ
ដៀប	ɗiəp
ដៀល	ɗiəl
ដៀវ	ɗiəw
ដេក	ɗeek
ដេញ	ɗeeɲ
ដេរ	ɗee
ដែក	ɗaek
ដែង	ɗaeŋ
ដែន	ɗaen
ដែរ	ɗae
ដែល	ɗael
ដោក	ɗaok
ដោច	ɗaoc
ដោប	ɗaop
ដោម	ɗaom
ដោយ	ɗaoj
ដោរ	ɗao
ដោល	ɗaol
ដោះ	ɗɑh
ដំប	ɗɑm\.ɓɑɑ
ឌិន	ɗɨn
ឌុន	ɗun
ណាយ	naaj
ណិល	nəl
ណឺង	nəəŋ
ណូង	nooŋ
ណែន	naen
ណែម	naem
ណែវ	naew
តក់	tɑk
តន់	tɑn
តបះ	tɑ\.ɓah
តប់	tɑp
តាក	taak
តាង	taaŋ
តាច	taac
តាត	taat
តាន	taan
តាប	taap
តាម	taam
តិច	təc
តិះ	teh
តឹក	tək
តឹង	təŋ
តុង	toŋ
តុញ	toɲ
តុប	top
តុះ	toh
តូង	tooŋ
តូច	tooc
តូន	toon
តូប	toop
តួច	tuəc
តួន	tuən
តួម	tuəm
តើក	taək
តើត	taət
តើន	taən
តើយ	taəj
តឿន	tɨən
តៀង	tiəŋ
តៀន	tiən
តៀប	tiəp
តៀម	tiəm
តេត	teet
តេន	teen
តែង	taeŋ
តែម	taem
តោក	taok
តោង	taoŋ
តោន	taon
តោះ	tɑh
តំណ	tɑm\.nɑɑ
ត្រ	trɑɑ
ថង់	tʰɑŋ
ថប់	tʰɑp
ថាវ	tʰaaw
ថាស	tʰaah
ថាំ	tʰam
ថុច	tʰoc
ថួន	tʰuən
ថើប	tʰaəp
ថឿក	tʰɨək
ថេរ	tʰee
ថែប	tʰaep
ថែម	tʰaem
ថែវ	tʰaew
ថោះ	tʰɑh
ថ្ង	tŋɑɑ
ថ្ម	tmɑɑ
ទក់	tuək
ទង់	tuŋ
ទច់	tuc
ទញ់	tuɲ
ទទា	tɔ\.tie
ទទេ	tɔ\.tee
ទទែ	tɔ\.tɛɛ
ទទះ	tɔ\.teah
ទន់	tun
ទប់	tup
ទល់	tul
ទស់	tuəh
ទាក	tiek
ទាង	tieŋ
ទាច	tiec
ទាញ	tieɲ
ទាន	tien
ទាប	tiep
ទាយ	tiej
ទារ	tie
ទាល	tiel
ទាស	tieh
ទាំ	toam
ទិច	tɨc
ទិញ	tɨɲ
ទិល	tɨl
ទីង	tiiŋ
ទីវ	tiiw
ទឹង	tɨŋ
ទឹប	tɨp
ទឹល	tɨl
ទឺង	tɨɨŋ
ទឺះ	tɨɨh
ទុក	tuk
ទុង	tuŋ
ទុន	tun
ទុំ	tum
ទូក	tuuk
ទូង	tuuŋ
ទូច	tuuc
ទូញ	tuuɲ
ទូរ	tuu
ទូល	tuul
ទួង	tuəŋ
ទួញ	tuəɲ
ទួត	tuət
ទួន	tuən
ទួម	tuəm
ទួល	tuəl
ទើង	təəŋ
ទើត	təət
ទើប	təəp
ទើម	təəm
ទើរ	təə
ទើស	təəh
ទៀត	tiət
ទៀន	tiən
ទៀប	tiəp
ទៀវ	tiəw
ទេញ	teeɲ
ទេរ	tee
ទែង	tɛɛŋ
ទែន	tɛɛn
ទែព	tɛɛp
ទែះ	tɛh
ទោង	tooŋ
ទោច	tooc
ទោម	toom
ទោរ	too
ទោល	tool
ទោះ	tuəh
ទ្រ	trɔɔ
ធន់	tʰun
ធាង	tʰieŋ
ធាន	tʰien
ធីប	tʰiip
ធឹង	tʰɨŋ
ធុង	tʰuŋ
ធុន	tʰun
ធុំ	tʰum
ធូរ	tʰuu
ធួន	tʰuən
ធៀប	tʰiəp
ធេង	tʰeeŋ
ននល	nɔ\.nɔɔl
ននះ	nɔ\.neah
នប់	nup
នាង	nieŋ
នាច	niec
នារ	nie
នាល	niel
នាវ	niew
នាំ	noam
និង	nɨŋ
នឹក	nɨk
នឹង	nɨŋ
នឹម	nɨm
នុយ	nuj
នុះ	nuh
នូវ	nuuw
នួត	nuət
នួន	nuən
នឿក	nɨək
នឿយ	nɨəj
នៀវ	niəw
នេន	neen
នេះ	neh
នែប	nɛɛp
នោប	noop
នោម	noom
នោះ	nuəh
បក់	ɓɑk
បង់	ɓɑŋ
បត់	ɓɑt
បន់	ɓɑn
បបរ	ɓɑ\.ɓɑɑ
បាង	ɓaaŋ
បាច	ɓaac
បាញ	ɓaaɲ
បាត	ɓaat
បាន	ɓaan
បាយ	ɓaaj
បារ	ɓaa
បាវ	ɓaaw
បិត	ɓət
បឹង	ɓəŋ
បឹម	ɓəm
បឺត	ɓəət
បឺះ	ɓəəh
បុក	ɓok
បុល	ɓol
បុះ	ɓoh
បូក	ɓook
បូញ	ɓooɲ
បូត	ɓoot
បូម	ɓoom
បូល	ɓool
បូស	ɓooh
បួង	ɓuəŋ
បួន	ɓuən
បួរ	ɓuə
បួល	ɓuəl
បួស	ɓuəh
បើក	ɓaək
បឿន	ɓɨən
បៀក	ɓiək
បៀត	ɓiət
បៀម	ɓiəm
បៀរ	ɓiə
បេង	ɓeeŋ
បេះ	ɓeh
បែក	ɓaek
បែង	ɓaeŋ
បែន	ɓaen
បែប	ɓaep
បែរ	ɓae
បោក	ɓaok
បោង	ɓaoŋ
បោច	ɓaoc
បោប	ɓaop
បោយ	ɓaoj
បោរ	ɓao
បោល	ɓaol
បោស	ɓaoh
បោះ	ɓɑh
ប៉ក	pɑɑk
ប៉ង	pɑɑŋ
ប៉ច	pɑɑc
ប៉ម	pɑɑm
ប៉យ	pɑɑj
ប៉ី	pəj
ប៉ែ	pae
ប៉ៃ	paj
ប៉ោ	pao
ប៉ៅ	paw
ប៉ះ	pah
ផង់	pʰɑŋ
ផាក	pʰaak
ផាង	pʰaaŋ
ផាយ	pʰaaj
ផាវ	pʰaaw
ផាស	pʰaah
ផិត	pʰət
ផឹក	pʰək
ផឹង	pʰəŋ
ផឺត	pʰəət
ផុង	pʰoŋ
ផុត	pʰot
ផុយ	pʰoj
ផុរ	pʰo
ផុស	pʰoh
ផូក	pʰook
ផូង	pʰooŋ
ផូយ	pʰooj
ផូស	pʰooh
ផួយ	pʰuəj
ផើង	pʰaəŋ
ផើត	pʰaət
ផើម	pʰaəm
ផើយ	pʰaəj
ផឿក	pʰɨək
ផេង	pʰeeŋ
ផេរ	pʰee
ផេះ	pʰeh
ផែង	pʰaeŋ
ផែត	pʰaet
ផែន	pʰaen
ផែល	pʰael
ផែះ	pʰaeh
ផោង	pʰaoŋ
ផោម	pʰaom
ពញា	pɔ\.ɲie
ពត់	put
ពន់	pun
ពពក	pɔ\.pɔɔk
ពពូ	pɔ\.puu
ពពែ	pɔ\.pɛɛ
ពភល	pɔ\.pʰɔɔl
ពស់	puəh
ពាង	pieŋ
ពាត	piet
ពាន	pien
ពាម	piem
ពាយ	piej
ពាស	pieh
ពាំ	poam
ពិត	pɨt
ពិន	pɨn
ពិល	pɨl
ពីង	piiŋ
ពីរ	pii
ពឹង	pɨŋ
ពឹត	pɨt
ពឹប	pɨp
ពឺត	pɨɨt
ពុក	puk
ពុង	puŋ
ពុត	put
ពុន	pun
ពុប	pup
ពុរ	pu
ពុល	pul
ពុំ	pum
ពុះ	puh
ពូក	puuk
ពូត	puut
ពូន	puun
ពួក	puək
ពួច	puəc
ពួត	puət
ពួន	puən
ពួយ	puəj
ពួរ	puə
ពើក	pəək
ពើង	pəəŋ
ពើត	pəət
ពើប	pəəp
ពើម	pəəm
ពៀច	piəc
ពៀប	piəp
ពេក	peek
ពេញ	peeɲ
ពេន	peen
ពេប	peep
ពែង	pɛɛŋ
ពែន	pɛɛn
ពោង	pooŋ
ពោត	poot
ពោន	poon
ពោប	poop
ពោរ	poo
ពោល	pool
ពោះ	puəh
ភក់	pʰuək
ភប់	pʰup
ភាន	pʰien
ភាយ	pʰiej
ភារ	pʰie
ភាវ	pʰiew
ភិត	pʰɨt
ភិល	pʰɨl
ភីង	pʰiiŋ
ភឹង	pʰɨŋ
ភឹប	pʰɨp
ភឹល	pʰɨl
ភឺត	pʰɨɨt
ភឺន	pʰɨɨn
ភឺស	pʰɨɨh
ភុង	pʰuŋ
ភុយ	pʰuj
ភុល	pʰul
ភូស	pʰuuh
ភូះ	pʰuuh
ភួង	pʰuəŋ
ភួយ	pʰuəj
ភើច	pʰəəc
ភើត	pʰəət
ភឿន	pʰɨən
ភៀស	pʰiəh
ភេល	pʰeel
មត់	mut
មមី	mɔ\.mii
មមើ	mɔ\.məə
មមែ	mɔ\.mɛɛ
មមៃ	mɔ\.mej
មយី	mɔ\.jii
មរណ	mɔ\.rɔɔn
មាន	mien
មាំ	moam
មិច	mɨc
មិន	mɨn
មីង	miiŋ
មីរ	mii
មឹក	mɨk
មឹង	mɨŋ
មឹត	mɨt
មឹន	mɨn
មឹះ	mɨh
មឺត	mɨɨt
មុខ	mukʰ
មុង	muŋ
មុត	mut
មុន	mun
មុម	mum
មុយ	muj
មូង	muuŋ
មូរ	muu
មូល	muul
មូស	muuh
មួក	muək
មួន	muən
មួយ	muəj
មួរ	muə
មួល	muəl
មើក	məək
មើម	məəm
មើល	məəl
មឿង	mɨəŋ
មៀង	miəŋ
មៀន	miən
មៀម	miəm
មេន	meen
មែក	mɛɛk
មែន	mɛɛn
មោក	mook
មោង	mooŋ
មោះ	muəh
ម៉ក	mɑɑk
ម៉ប	mɑɑp
ម៉ែ	mae
ម៉ៃ	maj
ម៉ៅ	maw
យក់	juək
យង់	juŋ
យន់	jun
យប់	jup
យល់	jul
យាង	jieŋ
យាម	jiem
យាយ	jiej
យារ	jie
យាវ	jiew
យាស	jieh
យីះ	jih
យឹត	jɨt
យឺត	jɨɨt
យុក	juk
យុយ	juj
យុរ	ju
យុះ	juh
យូយ	juuj
យូរ	juu
យួន	juən
យួរ	juə
យើង	jəəŋ
យែក	jɛɛk
យោក	jook
យោង	jooŋ
យោល	jool
យ៉ស	jɑɑh
យ៉ើ	jaə
យ៉ៃ	jaj
រកម	rɔ\.kɑɑm
រកា	rɔ\.kaa
រខក	rɔ\.kʰɑɑk
រគង	rɔ\.kɔɔŋ
រងា	rɔ\.ŋie
រងូ	rɔ\.ŋuu
រងៃ	rɔ\.ŋej
រងំ	rɔ\.ŋum
រជយ	rɔ\.cɔɔj
រញម	rɔ\.ɲɔɔm
រញា	rɔ\.ɲie
រញី	rɔ\.ɲii
រញ៉	rɔɔɲ
រញ់	ruɲ
រដក	rɔ\.ɗɑɑk
រដែ	rɔ\.ɗae
រណប	rɔ\.nɑɑp
រត់	rut
រទង	rɔ\.tɔɔŋ
រទូ	rɔ\.tuu
រនង	rɔ\.nɔɔŋ
រនល	rɔ\.nɔɔl
រនះ	rɔ\.neah
របក	rɔ\.ɓɑɑk
របង	rɔ\.ɓɑɑŋ
របប	rɔ\.ɓɑɑp
របរ	rɔ\.ɓɑɑ
របៃ	rɔ\.ɓaj
របះ	rɔ\.ɓah
រយំ	rɔ\.jum
រយះ	rɔ\.jeah
រលក	rɔ\.lɔɔk
រលង	rɔ\.lɔɔŋ
