ក	kɑɑ
រខិត	rɔ\.kʰət
រខិន	rɔ\.kʰən
រខឺត	rɔ\.kʰəət
រខុញ	rɔ\.kʰoɲ
រខូស	rɔ\.kʰooh
រខេក	rɔ\.kʰeek
រខែក	rɔ\.kʰaek
រខែះ	rɔ\.kʰaeh
រខោក	rɔ\.kʰaok
រគាម	rɔ\.kiem
រគីង	rɔ\.kiiŋ
រគីម	rɔ\.kiim
រគឹង	rɔ\.kɨŋ
រគុប	rɔ\.kup
រគើម	rɔ\.kəəm
រគើល	rɔ\.kəəl
រគេង	rɔ\.keeŋ
រគេន	rɔ\.keen
រគោង	rɔ\.kooŋ
រគោល	rɔ\.kool
រឃុង	rɔ\.kʰuŋ
រងល់	rɔ\.ŋul
រងាល	rɔ\.ŋiel
រងាវ	rɔ\.ŋiew
រងីក	rɔ\.ŋiik
រងុម	rɔ\.ŋum
រងុំ	rɔ\.ŋum
រងួយ	rɔ\.ŋuəj
រងើក	rɔ\.ŋəək
រងើម	rɔ\.ŋəəm
រងៀក	rɔ\.ŋiək
រងៀម	rɔ\.ŋiəm
រងែក	rɔ\.ŋɛɛk
រងោក	rɔ\.ŋook
រង៉ែ	rɔ\.ŋae
រជើប	rɔ\.cəəp
រជោរ	rɔ\.coo
រញង់	rɔ\.ɲuŋ
រញីវ	rɔ\.ɲiiw
រញឹក	rɔ\.ɲɨk
រញៀវ	rɔ\.ɲiəw
រញេញ	rɔ\.ɲeeɲ
រញ៉ី	rɔ\.ɲəj
រញ៉ែ	rɔ\.ɲae
រដិប	rɔ\.ɗəp
រដឹក	rɔ\.ɗək
រដឺន	rɔ\.ɗəən
រដុប	rɔ\.ɗop
រដូក	rɔ\.ɗook
រដៀន	rɔ\.ɗiən
រដេច	rɔ\.ɗeec
រដែត	rɔ\.ɗaet
រដោះ	rɔ\.ɗɑh
រឌុក	rɔ\.ɗuk
រណារ	rɔ\.naa
រណិល	rɔ\.nəl
រណែង	rɔ\.naeŋ
រណែល	rɔ\.nael
រណោង	rɔ\.naoŋ
រតាក	rɔ\.taak
រតាយ	rɔ\.taaj
រតាវ	rɔ\.taaw
រតឹង	rɔ\.təŋ
រតូត	rɔ\.toot
រតេក	rɔ\.teek
រតេត	rɔ\.teet
រតេយ	rɔ\.teej
រតេវ	rɔ\.teew
រតែក	rɔ\.taek
រតែង	rɔ\.taeŋ
រតោក	rɔ\.taok
រតោង	rɔ\.taoŋ
រទាស	rɔ\.tieh
រទាំ	rɔ\.toam
រទីស	rɔ\.tiih
រទុះ	rɔ\.tuh
រទើស	rɔ\.təəh
រទេញ	rɔ\.teeɲ
រទេះ	rɔ\.teh
រទែង	rɔ\.tɛɛŋ
រទោង	rɔ\.tooŋ
រនាត	rɔ\.niet
រនាប	rɔ\.niep
រនាម	rɔ\.niem
រនាល	rɔ\.niel
រនុក	rɔ\.nuk
រនូត	rɔ\.nuut
រនួត	rɔ\.nuət
រនេល	rɔ\.neel
រនោង	rɔ\.nooŋ
រនោច	rɔ\.nooc
រនោល	rɔ\.nool
រន្ធ	run\.tʰɔɔ
របត់	rɔ\.ɓɑt
របស់	rɔ\.ɓɑh
របាញ	rɔ\.ɓaaɲ
របាទ	rɔ\.ɓaat
របាយ	rɔ\.ɓaaj
របារ	rɔ\.ɓaa
របាល	rɔ\.ɓaal
របាំ	rɔ\.ɓam
របឹង	rɔ\.ɓəŋ
របឹប	rɔ\.ɓəp
របុក	rɔ\.ɓok
របុង	rɔ\.ɓoŋ
របុញ	rɔ\.ɓoɲ
របុម	rɔ\.ɓom
របុំ	rɔ\.ɓom
របូត	rɔ\.ɓoot
របួល	rɔ\.ɓuəl
របួស	rɔ\.ɓuəh
របើក	rɔ\.ɓaək
របើរ	rɔ\.ɓaə
របើស	rɔ\.ɓaəh
របៀង	rɔ\.ɓiəŋ
របៀន	rɔ\.ɓiən
របៀប	rɔ\.ɓiəp
របេង	rɔ\.ɓeeŋ
របេះ	rɔ\.ɓeh
របែង	rɔ\.ɓaeŋ
របោច	rɔ\.ɓaoc
របោម	rɔ\.ɓaom
របោយ	rɔ\.ɓaoj
របោះ	rɔ\.ɓɑh
រពាយ	rɔ\.piej
រពីង	rɔ\.piiŋ
រពឹក	rɔ\.pɨk
រពឹល	rɔ\.pɨl
រពឹស	rɔ\.pɨh
រពុក	rɔ\.puk
រពុយ	rɔ\.puj
រពោង	rɔ\.pooŋ
រមត់	rɔ\.mut
រមាក	rɔ\.miek
រមាស	rɔ\.mieh
រមិល	rɔ\.mɨl
រមឹល	rɔ\.mɨl
រមូរ	rɔ\.muu
រមូល	rɔ\.muul
រមួល	rɔ\.muəl
រមៀត	rɔ\.miət
រមៀល	rɔ\.miəl
រមេញ	rɔ\.meeɲ
រមែង	rɔ\.mɛɛŋ
រម្ហ	rum\.hɑɑ
រយាក	rɔ\.jiek
រយាង	rɔ\.jieŋ
រយាន	rɔ\.jien
រយាប	rɔ\.jiep
រយាយ	rɔ\.jiej
រយាល	rɔ\.jiel
រយីក	rɔ\.jiik
រយីង	rɔ\.jiiŋ
រយឺត	rɔ\.jɨɨt
រយេង	rɔ\.jeeŋ
រយោង	rɔ\.jooŋ
រយោន	rɔ\.joon
រយ៉ី	rɔ\.jəj
រយ៉ៃ	rɔ\.jaj
រលង់	rɔ\.luŋ
រលត់	rɔ\.lut
រលប់	rɔ\.lup
រលស់	rɔ\.luəh
រលាក	rɔ\.liek
រលាត	rɔ\.liet
រលាប	rɔ\.liep
រលាម	rɔ\.liem
រលាយ	rɔ\.liej
រលាំ	rɔ\.loam
រលិស	rɔ\.lih
រលីក	rɔ\.liik
រលីង	rɔ\.liiŋ
រលីវ	rɔ\.liiw
រលឹក	rɔ\.lɨk
រលឹម	rɔ\.lɨm
រលុង	rɔ\.luŋ
រលុះ	rɔ\.luh
រលូង	rɔ\.luuŋ
រលូត	rɔ\.luut
រលូន	rɔ\.luun
រលួត	rɔ\.luət
រលួយ	rɔ\.luəj
រលួស	rɔ\.luəh
រលើង	rɔ\.ləəŋ
រលើប	rɔ\.ləəp
រលៀក	rɔ\.liək
រលៀង	rɔ\.liəŋ
រលេញ	rɔ\.leeɲ
រលេះ	rɔ\.leh
រលែក	rɔ\.lɛɛk
រលែម	rɔ\.lɛɛm
រលែះ	rɔ\.lɛh
រលោក	rɔ\.look
រលោង	rɔ\.looŋ
រលោច	rɔ\.looc
រវល់	rɔ\.wul
រវាង	rɔ\.wieŋ
រវាត	rɔ\.wiet
រវាន	rɔ\.wien
រវាម	rɔ\.wiem
រវិន	rɔ\.wɨn
រវីក	rɔ\.wiik
រវីម	rɔ\.wiim
រវីស	rɔ\.wiih
រវូប	rɔ\.wuup
រវើក	rɔ\.wəək
រវើម	rɔ\.wəəm
រវៀស	rɔ\.wiəh
រវែង	rɔ\.wɛɛŋ
រសាក	rɔ\.saak
រសាច	rɔ\.saac
រសាយ	rɔ\.saaj
រសាវ	rɔ\.saaw
រសឹប	rɔ\.səp
រសុក	rɔ\.sok
រសុល	rɔ\.sol
រសុស	rɔ\.soh
រសូវ	rɔ\.soow
រសើប	rɔ\.saəp
រសៀល	rɔ\.siəl
រសេច	rɔ\.seec
រសេវ	rɔ\.seew
រសោង	rɔ\.saoŋ
រសោះ	rɔ\.sɑh
រហក់	rɔ\.hɑk
រហង់	rɔ\.hɑŋ
រហាច	rɔ\.haac
រហាម	rɔ\.haam
រហាល	rɔ\.haal
រហិក	rɔ\.hək
រហិច	rɔ\.həc
រហិល	rɔ\.həl
រហឹម	rɔ\.həm
រហុយ	rɔ\.hoj
រហូត	rɔ\.hoot
រហូន	rɔ\.hoon
រហើង	rɔ\.haəŋ
រហើត	rɔ\.haət
រហើយ	rɔ\.haəj
រហៀង	rɔ\.hiəŋ
រហៀរ	rɔ\.hiə
រហេម	rɔ\.heem
រហេវ	rɔ\.heew
រហែក	rɔ\.haek
រហែង	rɔ\.haeŋ
រហែល	rɔ\.hael
រហោក	rɔ\.haok
រហោល	rɔ\.haol
រហោស	rɔ\.haoh
រឡប់	rɔ\.lɑp
រឡាញ	rɔ\.laaɲ
រឡាម	rɔ\.laam
រឡឺម	rɔ\.ləəm
រឡូង	rɔ\.looŋ
រអាង	rɔ\.ʔaaŋ
រអាត	rɔ\.ʔaat
រអាម	rɔ\.ʔaam
រអិច	rɔ\.ʔəc
រអិល	rɔ\.ʔəl
រអឹក	rɔ\.ʔək
រអឺត	rɔ\.ʔəət
រអុច	rɔ\.ʔoc
រអូច	rɔ\.ʔooc
រអើប	rɔ\.ʔaəp
រអើម	rɔ\.ʔaəm
រអើល	rɔ\.ʔaəl
រអៀច	rɔ\.ʔiəc
រអៀស	rɔ\.ʔiəh
រអែក	rɔ\.ʔaek
រអែង	rɔ\.ʔaeŋ
រអោក	rɔ\.ʔaok
រអ៊ូ	rɔ\.ʔuu
រាក់	reak
រាត់	roat
រាន់	roan
រាប់	roap
រាល់	roal
រាស់	roah
រាំង	reaŋ
រំងក	rum\.ŋɔɔk
រំជា	rum\.cie
រំជែ	rum\.cɛɛ
រំទំ	rum\.tum
រំពង	rum\.pɔɔŋ
រំពា	rum\.pie
រំពេ	rum\.pee
រំពៃ	rum\.pej
រំលង	rum\.lɔɔŋ
រំលា	rum\.lie
រំលំ	rum\.lum
រំហែ	rum\.hae
រំអា	rum\.ʔaa
រ៉ស់	rɑh
រ៉ាង	raaŋ
រ៉ាវ	raaw
រ៉ាំ	ram
រ៉ិល	rəl
រ៉ឹង	rəŋ
រ៉ឺង	rəəŋ
រ៉ុញ	roɲ
រ៉ុយ	roj
រ៉ុល	rol
រ៉ូង	rooŋ
រ៉ើក	raək
រ៉ើង	raəŋ
រ៉េវ	reew
រ៉េះ	reh
រ៉ែង	raeŋ
រ៉ែត	raet
លម្ហ	lum\.hɑɑ
លម្អ	lum\.ʔɑɑ
លលក់	lɔ\.luək
លលឹម	lɔ\.lɨm
លលួង	lɔ\.luəŋ
លាក់	leak
លាត់	loat
លាន់	loan
លាប់	loap
លាស់	loah
លាំង	leaŋ
លំញង	lum\.ɲɔɔŋ
លំនៅ	lum\.nɨw
លំផក	lum\.pʰɑɑk
លំហែ	lum\.hae
លំអង	lum\.ʔɑɑŋ
ល្កម	lkɑɑm
ល្គង	lkɔɔŋ
ល្ងម	lŋɔɔm
ល្បក	lɓɑɑk
ល្បង	lɓɑɑŋ
ល្បី	lɓəj
ល្បះ	lɓah
ល្ពៅ	lpɨw
ល្មម	lmɔɔm
ល្មៃ	lmej
ល្យំ	ljum
ល្វត	lwɔɔt
ល្វា	lwie
ល្វៃ	lwej
ល្ហក	lhɑɑk
ល្ហែ	lhae
ល្អង	lʔɑɑŋ
ល្អី	lʔəj
ល្អះ	lʔah
វណ្ដ	wun\.ɗɑɑ
វាក់	weak
វាត់	woat
វាន់	woan
វាប់	woap
វាល់	woal
វាស់	woah
វាំង	weaŋ
វ៉ង់	wɑŋ
វ៉ាស	waah
វ៉ឺង	wəəŋ
វ៉ឺត	wəət
វ៉ឺយ	wəəj
វ៉ឺះ	wəəh
វ៉ុល	wol
វ៉ូង	wooŋ
វ៉ូត	woot
វ៉ូប	woop
វ៉ូស	wooh
វ៉េវ	weew
វ៉ែត	waet
វ៉ែន	waen
វ៉ែប	waep
វ៉ោប	waop
វ្ហី	whəj
សណ្ដ	sɑn\.ɗɑɑ
សត្វ	sɑ\.twɑɑ
សម្ល	sɑm\.lɑɑ
សសិត	sɑ\.sət
សសឹក	sɑ\.sək
សសុល	sɑ\.sol
សសូល	sɑ\.sool
សសៀរ	sɑ\.siə
សសេះ	sɑ\.seh
សសោះ	sɑ\.sɑh
សាក់	sak
សាច់	sac
សាត់	sat
សាប់	sap
សាល់	sal
សាំង	saŋ
សំកក	sɑm\.kɑɑk
សំគម	sɑm\.kɔɔm
សំងំ	sɑm\.ŋɑm
សំចត	sɑm\.cɑɑt
សំចែ	sɑm\.cae
សំចៃ	sɑm\.caj
សំញៅ	sɑm\.ɲaw
សំដី	sɑm\.ɗəj
សំដៅ	sɑm\.ɗaw
សំណក	sɑm\.nɑɑk
សំណង	sɑm\.nɑɑŋ
សំណើ	sɑm\.naə
សំណៅ	sɑm\.naw
សំណំ	sɑm\.nɑm
សំតត	sɑm\.tɑɑt
សំទល	sɑm\.tɔɔl
សំបក	sɑm\.ɓɑɑk
សំបា	sɑm\.ɓaa
សំពង	sɑm\.pɔɔŋ
សំពូ	sɑm\.puu
សំពៅ	sɑm\.pɨw
សំពះ	sɑm\.peah
សំភី	sɑm\.pʰii
សំរង	sɑm\.rɑɑŋ
សំរែ	sɑm\.rae
សំវរ	sɑm\.wɑɑ
សំសែ	sɑm\.sae
សំឡី	sɑm\.ləj
សំអក	sɑm\.ʔɑɑk
ស៊ប់	sup
ស៊ាន	sien
ស៊ាំ	soam
ស៊ឹង	sɨŋ
ស៊ុត	sut
ស៊ុន	sun
ស៊ុម	sum
ស៊ើក	səək
ស៊ើប	səəp
ស៊ែម	sɛɛm
ស្កក	skɑɑk
ស្ករ	skɑɑ
ស្កា	skaa
ស្កះ	skah
ស្គម	skɔɔm
ស្គរ	skɔɔ
ស្គា	skie
ស្គឺ	skɨɨ
ស្ញែ	sɲae
ស្ដី	sɗəj
ស្ដៅ	sɗaw
ស្តត	stɑɑt
ស្តា	staa
ស្តោ	stao
ស្ទង	stɔɔŋ
ស្ទប	stɔɔp
ស្ទល	stɔɔl
ស្ទា	stie
ស្ទែ	stɛɛ
ស្ទៃ	stej
ស្ទំ	stum
ស្ទះ	steah
ស្នង	snɑɑŋ
ស្នប	snɑɑp
ស្នល	snɑɑl
ស្នា	snaa
ស្នួ	snuə
ស្នើ	snaə
ស្នោ	snao
ស្នំ	snɑm
ស្បែ	sɓae
ស្បៃ	sɓaj
ស្ពក	spɔɔk
ស្ពឺ	spɨɨ
ស្ពៃ	spej
ស្ពៅ	spɨw
ស្មង	smɑɑŋ
ស្មា	smaa
ស្មឺ	sməə
ស្មើ	smaə
ស្មេ	smee
ស្មែ	smae
ស្មៅ	smaw
ស្យា	sjaa
ស្រក	srɑɑk
ស្រង	srɑɑŋ
ស្រប	srɑɑp
ស្រស	srɑɑh
ស្រា	sraa
ស្រី	srəj
ស្រែ	srae
ស្រំ	srɑm
ស្លត	slɑɑt
ស្លប	slɑɑp
ស្លា	slaa
ស្លឺ	sləə
ស្លែ	slae
ស្លោ	slao
ស្លៅ	slaw
ស្វត	swɑɑt
ស្វា	swaa
ស្វះ	swah
ស្អក	sʔɑɑk
ស្អយ	sʔɑɑj
ស្អា	sʔaa
ស្អី	sʔəj
ស្អំ	sʔɑm
ហាក់	hak
ហាច់	hac
ហាត់	hat
ហាន់	han
ហាប់	hap
ហ៊ាន	hien
ហ៊ិះ	hih
ហ៊ីង	hiiŋ
ហ៊ឹក	hɨk
ហ៊ឹង	hɨŋ
ហ៊ឹប	hɨp
ហ៊ឹម	hɨm
ហ៊ឹះ	hɨh
ហ៊ឺយ	hɨɨj
ហ៊ុន	hun
ហ៊ុម	hum
ហ៊ុះ	huh
ហ៊ើយ	həəj
ហ៊ែះ	hɛh
ហ្មង	hmɑɑŋ
ហ្មប	hmɑɑp
ហ្មេ	hmee
ហ្វេ	hwee
ហ្វៅ	hwaw
ឡាក់	lak
ឡាញ់	laɲ
ឡាន់	lan
ឡាំង	laŋ
អគ្រ	ʔɑ\.krɔɔ
អនុជ	ʔɑ\.noc
អម្រ	ʔɑm\.rɑɑ
អាក់	ʔak
អាត់	ʔat
អាប់	ʔap
អាំង	ʔaŋ
អំណរ	ʔɑm\.nɑɑ
អំពក	ʔɑm\.pɔɔk
អំពី	ʔɑm\.pii
អំពើ	ʔɑm\.pəə
អំពែ	ʔɑm\.pɛɛ
អំពៅ	ʔɑm\.pɨw
អំពះ	ʔɑm\.peah
អ៊ិម	ʔɨm
អ៊ឹម	ʔɨm
អ៊ឹះ	ʔɨh
អ៊ឺត	ʔɨɨt
អ៊ឺះ	ʔɨɨh
អ៊ុត	ʔut
អ៊ុយ	ʔuj
អ៊ូង	ʔuuŋ
អ៊ូច	ʔuuc
អ៊ូញ	ʔuuɲ
អ៊ូយ	ʔuuj
អ៊ែន	ʔɛɛn
អ្នក	ʔnɑɑk
អ្ហា	ʔhaa
អ្ហឺ	ʔhəə
អ្ហូ	ʔhoo
អ្ហោ	ʔhao
អ្ហះ	ʔhah
កញ្ចក	kɑɲ\.cɑɑk
កញ្ចែ	kɑɲ\.cae
កញ្ឆត	kɑɲ\.cʰɑɑt
កញ្ឆល	kɑɲ\.cʰɑɑl
កញ្ឆា	kɑɲ\.cʰaa
កញ្ជរ	kɑɲ\.cɔɔ
កញ្ជួ	kɑɲ\.cuə
កញ្ជើ	kɑɲ\.cəə
កញ្ជោ	kɑɲ\.coo
កញ្ជះ	kɑɲ\.ceah
កណ្ដប	kɑn\.ɗɑɑp
កន្តូ	kɑn\.too
កន្ទប	kɑn\.tɔɔp
កន្ទី	kɑn\.tii
កន្ធរ	kɑn\.tʰɔɔ
កន្ធា	kɑn\.tʰie
កន្លង	kɑn\.lɑɑŋ
កន្លះ	kɑn\.lah
កន្សៃ	kɑn\.saj
កម្ចី	kɑm\.cəj
កម្ញី	kɑm\.ɲəj
កម្ដៅ	kɑm\.ɗaw
កម្ទរ	kɑm\.tɔɔ
កម្រង	kɑm\.rɑɑŋ
កម្រៃ	kɑm\.raj
កម្លា	kɑm\.laa
កម្លៅ	kɑm\.law
កំចាយ	kɑm\.caaj
កំចោក	kɑm\.caok
កំញាន	kɑm\.ɲaan
កំញើញ	kɑm\.ɲaəɲ
កំដឹង	kɑm\.ɗəŋ
កំណត់	kɑm\.nɑt
កំណប់	kɑm\.nɑp
កំណល់	kɑm\.nɑl
កំណាច	kɑm\.naac
កំណារ	kɑm\.naa
កំណិន	kɑm\.nən
កំណួច	kɑm\.nuəc
កំណើត	kɑm\.naət
កំណើន	kɑm\.naən
កំណើល	kɑm\.naəl
កំណៀង	kɑm\.niəŋ
កំណៀច	kɑm\.niəc
កំណៀរ	kɑm\.niə
កំណៀវ	kɑm\.niəw
កំណៀស	kɑm\.niəh
កំណេះ	kɑm\.neh
កំណែន	kɑm\.naen
កំណោង	kɑm\.naoŋ
កំណោត	kɑm\.naot
កំណោន	kɑm\.naon
កំណោរ	kɑm\.nao
កំណោស	kɑm\.naoh
កំណោះ	kɑm\.nɑh
កំនួច	kɑm\.nuəc
កំនៀរ	kɑm\.niə
កំបាប	kɑm\.ɓaap
កំបុត	kɑm\.ɓot
កំបូវ	kɑm\.ɓoow
កំបែក	kɑm\.ɓaek
កំបែប	kɑm\.ɓaep
កំបោរ	kɑm\.ɓao
កំផិត	kɑm\.pʰət
កំផែង	kɑm\.pʰaeŋ
កំផែល	kɑm\.pʰael
កំពង់	kɑm\.puŋ
កំពប់	kɑm\.pup
កំពាង	kɑm\.pieŋ
កំពាញ	kɑm\.pieɲ
កំពាយ	kɑm\.piej
កំពីង	kɑm\.piiŋ
កំពឹស	kɑm\.pɨh
កំពុក	kɑm\.puk
កំពុង	kɑm\.puŋ
កំពូក	kɑm\.puuk
កំពូជ	kɑm\.puuc
កំពូល	kɑm\.puul
កំពួរ	kɑm\.puə
កំពើង	kɑm\.pəəŋ
កំពៀច	kɑm\.piəc
កំពែង	kɑm\.pɛɛŋ
កំពោង	kɑm\.pooŋ
កំភូត	kɑm\.pʰuut
កំភួន	kɑm\.pʰuən
កំភេម	kɑm\.pʰeem
កំភែល	kɑm\.pʰɛɛl
កំរើប	kɑm\.raəp
កំរោល	kɑm\.raol
កំលុង	kɑm\.loŋ
កំលោះ	kɑm\.lɑh
កំសាក	kɑm\.saak
កំសុល	kɑm\.sol
កំសួល	kɑm\.suəl
កំសៀវ	kɑm\.siəw
កំហល់	kɑm\.hɑl
កំហាក	kɑm\.haak
កំហាត	kɑm\.haat
កំហាន	kɑm\.haan
កំហិត	kɑm\.hət
កំហិល	kɑm\.həl
កំហឹង	kɑm\.həŋ
កំហុល	kɑm\.hol
កំហុស	kɑm\.hoh
កំហូច	kɑm\.hooc
កំហើច	kɑm\.haəc
កំហែង	kɑm\.haeŋ
កំហោក	kɑm\.haok
កំអួក	kɑm\.ʔuək
ក្ងក់	kŋɑk
ក្ងង់	kŋɑŋ
ក្ងាន	kŋaan
ក្ងិច	kŋəc
ក្ងិត	kŋət
ក្ងុក	kŋok
ក្ងុង	kŋoŋ
ក្ងុល	kŋol
ក្ងុះ	kŋoh
ក្ងួរ	kŋuə
ក្ងៀក	kŋiək
ក្ងៀង	kŋiəŋ
ក្ងេះ	kŋeh
ក្ងែង	kŋaeŋ
ក្ងោក	kŋaok
ក្ដក់	kɗɑk
ក្ដន់	kɗɑn
ក្ដាត	kɗaat
ក្ដាម	kɗaam
ក្ដារ	kɗaa
ក្ដាំ	kɗam
ក្ដិច	kɗəc
ក្ដិត	kɗət
ក្ដឹប	kɗəp
ក្ដឹះ	kɗəh
ក្ដុក	kɗok
ក្ដុង	kɗoŋ
ក្ដុល	kɗol
ក្ដួច	kɗuəc
ក្ដួល	kɗuəl
ក្ដឿង	kɗɨəŋ
ក្ដៀន	kɗiən
ក្ដៀប	kɗiəp
ក្ដែង	kɗaeŋ
ក្ដោង	kɗaoŋ
ក្ដោប	kɗaop
ក្ឌឺង	kɗɨɨŋ
ក្ឌុក	kɗuk
ក្ឌុង	kɗuŋ
ក្ឌុំ	kɗum
ក្នក់	knɑk
ក្និច	knəc
ក្នុង	knoŋ
ក្បង់	kɓɑŋ
ក្បត់	kɓɑt
ក្បាន	kɓaan
ក្បាប	kɓaap
ក្បាយ	kɓaaj
ក្បាល	kɓaal
ក្បិត	kɓət
ក្បិន	kɓən
ក្បិល	kɓəl
ក្បឺត	kɓəət
ក្បុង	kɓoŋ
ក្បុស	kɓoh
ក្បូន	kɓoon
ក្បូរ	kɓoo
ក្បួន	kɓuən
ក្បឿង	kɓɨəŋ
ក្បៀប	kɓiəp
ក្បៀស	kɓiəh
ក្បេត	kɓeet
ក្បែរ	kɓae
ក្បោះ	kɓɑh
ក្មាង	kmaaŋ
ក្មួយ	kmuəj
ក្មេក	kmeek
ក្មេង	kmeeŋ
ក្រកី	krɑ\.kəj
ក្រកោ	krɑ\.kao
ក្រគរ	krɑ\.kɔɔ
ក្រង់	krɑŋ
ក្រចក	krɑ\.cɑɑk
ក្រចេ	krɑ\.cee
ក្រចៅ	krɑ\.caw
ក្រញរ	krɑ\.ɲɑɑ
ក្រញី	krɑ\.ɲəj
ក្រញៅ	krɑ\.ɲaw
ក្រទា	krɑ\.tie
ក្រទី	krɑ\.tii
ក្រទែ	krɑ\.tɛɛ
ក្របី	krɑ\.ɓəj
ក្របៅ	krɑ\.ɓaw
ក្រពក	krɑ\.pɔɔk
ក្រពង	krɑ\.pɔɔŋ
ក្រពត	krɑ\.pɔɔt
ក្រពា	krɑ\.pie
ក្រពើ	krɑ\.pəə
ក្រពះ	krɑ\.peah
ក្រមម	krɑ\.mɑɑm
ក្រមរ	krɑ\.mɑɑ
ក្រមា	krɑ\.maa
ក្រមី	krɑ\.məj
ក្រមៅ	krɑ\.maw
ក្រយា	krɑ\.jaa
ក្រយៅ	krɑ\.jaw
ក្រសែ	krɑ\.sae
ក្រហត	krɑ\.hɑɑt
ក្រហម	krɑ\.hɑɑm
ក្រឡក	krɑ\.lɑɑk
ក្រឡា	krɑ\.laa
ក្រឡែ	krɑ\.lae
ក្រឡោ	krɑ\.lao
ក្រឡៅ	krɑ\.law
ក្រាក	kraak
ក្រាញ	kraaɲ
ក្រាន	kraan
ក្រាប	kraap
ក្រាម	kraam
ក្រាយ	kraaj
ក្រាល	kraal
ក្រាស	kraah
ក្រិត	krət
ក្រិន	krən
ក្រិប	krəp
ក្រិះ	kreh
ក្រឹក	krək
ក្រឹប	krəp
ក្រឹម	krəm
ក្រឹស	krəh
ក្រឺត	krəət
ក្រុក	krok
ក្រុង	kroŋ
ក្រុប	krop
ក្រុស	kroh
ក្រូច	krooc
ក្រួច	kruəc
ក្រួប	kruəp
ក្រួស	kruəh
ក្រើន	kraən
ក្រៀក	kriək
ក្រៀប	kriəp
ក្រៀម	kriəm
ក្រៀល	kriəl
ក្រៀវ	kriəw
ក្រេប	kreep
ក្រេវ	kreew
ក្រេស	kreeh
ក្រេះ	kreh
ក្រែក	kraek
ក្រែង	kraeŋ
ក្រែប	kraep
ក្រែល	krael
ក្រែះ	kraeh
ក្រោក	kraok
ក្រោម	kraom
ក្រោយ	kraoj
ក្រោល	kraol
ក្រោះ	krɑh
ក្លស់	klɑh
ក្លាយ	klaaj
ក្លាវ	klaaw
ក្លាំ	klam
ក្លិត	klət
ក្លិន	klən
ក្លឹង	kləŋ
ក្លឹស	kləh
ក្លុក	klok
ក្លុំ	klom
ក្លៀក	kliək
ក្លេត	kleet
ក្លែង	klaeŋ
ក្លែប	klaep
ក្លែម	klaem
ក្វាង	kwaaŋ
ក្វាត	kwaat
ក្វែន	kwaen
ក្អាក	kʔaak
ក្អាង	kʔaaŋ
ក្អាត	kʔaat
ក្អិត	kʔət
ក្អិល	kʔəl
ក្អឹក	kʔək
ក្អុក	kʔok
ក្អួត	kʔuət
ក្អឿយ	kʔɨəj
ក្អៀក	kʔiək
ក្អេង	kʔeeŋ
ក្អែក	kʔaek
ក្អែប	kʔaep
ក្អែល	kʔael
ខ្ចប់	kcɑp
ខ្ចាយ	kcaaj
ខ្ចូវ	kcoow
ខ្ចើច	kcaəc
ខ្ចោត	kcaot
ខ្ចោប	kcaop
ខ្ចោះ	kcɑh
ខ្ជាក	kciek
ខ្ជាង	kcieŋ
ខ្ជាយ	kciej
ខ្ជាំ	kcoam
ខ្ជិល	kcɨl
ខ្ជឹង	kcɨŋ
ខ្ជឹប	kcɨp
ខ្ជួន	kcuən
ខ្ជើច	kcəəc
ខ្ជេញ	kceeɲ
ខ្ជែង	kcɛɛŋ
ខ្ជោក	kcook
ខ្ជោល	kcool
ខ្ញង់	kɲɑŋ
